source	company	title	location	work_type	url	status	notes
104	Taiwan AI Labs_雅婷智慧股份有限公司	Senior Fullstack Engineer	台北市大同區	onsite/hybrid	https://www.104.com.tw/job/7lmrc	applied	2026-07-02 16:57 CST user manually submitted; English resume; AI/fullstack-focused English recommendation
104	網際威信股份有限公司	AI 應用工程師	台北市內湖區	onsite	https://www.104.com.tw/job/8zdu6	applied	2026-07-02 16:57 CST submitted via 104; Chinese resume; FinTech/AI/security-focused Chinese recommendation
104	安聯智能科技有限公司	Software Engineer（React / React Native）	台北市松山區	onsite	https://www.104.com.tw/job/938p1	applied	2026-07-02 16:59 CST submitted via 104; Chinese resume; Product Engineer/React/AI workflow-focused Chinese recommendation
104	映知科技有限公司	Vibe Coder (Fullstack + Backend)	台北市萬華區	onsite	https://www.104.com.tw/job/8zltp	applied	2026-07-02 17:02 CST submitted via 104; English resume; AI-native fullstack/backend+UI-focused English recommendation
104	橙然能源股份有限公司	前端工程師	台北市松山區	onsite	https://www.104.com.tw/job/8xho1	new	React/TypeScript; React Three Fiber/Three.js; data charts; WebSocket; energy/visualization
104	昂鋐科創股份有限公司	Full stack UI/UX Engineer	台北市松山區	onsite	https://www.104.com.tw/job/8vxst	new	Industrial AI/analytics; React/TypeScript/D3/Node/Python; data-rich enterprise UI
104	布魯斯人事顧問有限公司	【AI B2B產品開發/台北】Sr. Fullstack Engineer 全端工程師	台北市南港區	partial-remote	https://www.104.com.tw/job/90vpm	applied	2026-07-02 17:05 CST submitted via 104; Chinese resume; AI B2B 0-1/recruiter-facing Chinese recommendation; asked to clarify actual company/team/first-3-month goals
104	喬睿科技股份有限公司	[TapPay] 全端工程師 ( Full-Stack Engineer)	台北市中正區	onsite	https://www.104.com.tw/job/90nh0	new	Payment gateway; system design; distributed systems; Scrum; Java/Spring/database/AWS
104	美商正思網路股份有限公司台灣分公司	全端軟體工程師(Full Stack Software Engineer)	台北市南港區	onsite	https://www.104.com.tw/job/8mau7	new	US company; frontend depth; React/TypeScript/i18n/a11y/cross-browser; broader fullstack
104	一騰資訊服務股份有限公司	【A005】TypeScript前端工程師	台北市信義區	onsite	https://www.104.com.tw/job/935gh	new	LLM financial frontend; AI chat UI; data visualization; TypeScript; banking project
104	宜眾資訊股份有限公司	React 前端開發工程師-ES	台北市南港區	onsite	https://www.104.com.tw/job/8byb6	new	AI-related projects; React; maintainable/testable components; performance; CI/CD/testing
104	恆續科技股份有限公司	全端工程師 (React / Node.js)	新北市三重區	onsite	https://www.104.com.tw/job/8qw1q	new	New Taipei; React/Node/Docker/PostgreSQL; architecture and deployment; lower bar but useful practice
